nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Gini Rasio";Perkotaan;2005;Tahunan;0.348;"NUSA TENGGARA BARAT"
"Gini Rasio";Perkotaan;2005;Tahunan;0.297;"NUSA TENGGARA TIMUR"
"Gini Rasio";Perkotaan;2005;Tahunan;0.248;"KALIMANTAN BARAT"
"Gini Rasio";Perkotaan;2005;Tahunan;0.38;"KALIMANTAN TENGAH"
"Gini Rasio";Perkotaan;2005;Tahunan;0.25;"KALIMANTAN SELATAN"
"Gini Rasio";Perkotaan;2005;Tahunan;0.287;"KALIMANTAN TIMUR"
"Gini Rasio";Perkotaan;2005;Tahunan;-;"KALIMANTAN UTARA"
"Gini Rasio";Perkotaan;2005;Tahunan;0.375;"SULAWESI UTARA"
"Gini Rasio";Perkotaan;2005;Tahunan;0.237;"SULAWESI TENGAH"
"Gini Rasio";Perkotaan;2005;Tahunan;0.353;"SULAWESI SELATAN"
"Gini Rasio";Perkotaan;2005;Tahunan;0.307;"SULAWESI TENGGARA"
"Gini Rasio";Perkotaan;2005;Tahunan;0.209;GORONTALO
"Gini Rasio";Perkotaan;2005;Tahunan;0;"SULAWESI BARAT"
"Gini Rasio";Perkotaan;2005;Tahunan;0.315;MALUKU
"Gini Rasio";Perkotaan;2005;Tahunan;0.343;"MALUKU UTARA"
"Gini Rasio";Perkotaan;2005;Tahunan;-;"PAPUA BARAT"
"Gini Rasio";Perkotaan;2005;Tahunan;0.267;PAPUA
"Gini Rasio";Perkotaan;2005;Tahunan;0.351;INDONESIA
"Gini Rasio";Perdesaan;2005;Tahunan;0.239;ACEH
"Gini Rasio";Perdesaan;2005;Tahunan;0.269;"SUMATERA UTARA"
"Gini Rasio";Perdesaan;2005;Tahunan;0.256;"SUMATERA BARAT"
"Gini Rasio";Perdesaan;2005;Tahunan;0.213;RIAU
"Gini Rasio";Perdesaan;2005;Tahunan;0.332;JAMBI
"Gini Rasio";Perdesaan;2005;Tahunan;0.229;"SUMATERA SELATAN"
"Gini Rasio";Perdesaan;2005;Tahunan;0.301;BENGKULU
"Gini Rasio";Perdesaan;2005;Tahunan;0.315;LAMPUNG
"Gini Rasio";Perdesaan;2005;Tahunan;0.221;"KEP. BANGKA BELITUNG"
"Gini Rasio";Perdesaan;2005;Tahunan;0.208;"KEP. RIAU"
"Gini Rasio";Perdesaan;2005;Tahunan;-;"DKI JAKARTA"
"Gini Rasio";Perdesaan;2005;Tahunan;0.23;"JAWA BARAT"
"Gini Rasio";Perdesaan;2005;Tahunan;0.259;"JAWA TENGAH"
"Gini Rasio";Perdesaan;2005;Tahunan;0.268;"DI YOGYAKARTA"
"Gini Rasio";Perdesaan;2005;Tahunan;0.27;"JAWA TIMUR"
"Gini Rasio";Perdesaan;2005;Tahunan;0.275;BANTEN
"Gini Rasio";Perdesaan;2005;Tahunan;0.246;BALI
"Gini Rasio";Perdesaan;2005;Tahunan;0.28;"NUSA TENGGARA BARAT"
"Gini Rasio";Perdesaan;2005;Tahunan;0.263;"NUSA TENGGARA TIMUR"
"Gini Rasio";Perdesaan;2005;Tahunan;0.287;"KALIMANTAN BARAT"
"Gini Rasio";Perdesaan;2005;Tahunan;0.257;"KALIMANTAN TENGAH"
"Gini Rasio";Perdesaan;2005;Tahunan;0.286;"KALIMANTAN SELATAN"
